journal,2013,2014,2015,2016,2017,2018,2019,2020,2021
actuators,2,0,3,1,2,6,5,6,88
agriculture,3,1,8,4,6,11,12,19,148
agronomy,3,2,1,6,2,13,31,86,455
animals,4,6,5,5,1,9,45,67,628
antibiotics,4,3,4,2,3,4,18,58,280
antioxidants,3,3,2,5,13,14,36,68,264
applsci,4,1,9,23,60,113,213,366,2579
atmosphere,1,4,6,10,16,29,59,91,320
biology,4,5,2,4,1,3,3,14,247
biomedicines,1,2,0,4,6,11,5,31,294
biomolecules,4,4,8,3,2,10,36,87,359
biosensors,3,3,5,4,6,14,7,4,176
brainsci,3,3,5,8,15,9,22,47,224
cancers,13,9,15,7,15,31,81,151,920
catalysts,4,6,6,12,28,38,48,97,475
cells,4,3,6,3,2,14,100,157,667
chemosensors,1,1,2,2,1,4,4,5,117
children,0,4,1,2,6,6,9,16,122
cimb,0,0,0,0,0,0,0,0,3
coatings,3,1,7,6,23,31,17,60,413
crystals,1,3,3,15,32,28,39,80,410
curroncol,0,0,0,0,0,0,0,0,30
diagnostics,0,0,4,3,4,7,10,53,315
diversity,2,3,2,3,5,12,14,32,152
electronics,1,3,5,9,3,13,43,97,792
energies,8,18,31,59,67,81,185,289,2028
entropy,17,15,32,23,35,49,74,81,343
foods,2,1,4,10,6,15,34,90,508
forests,4,9,11,11,24,38,60,57,301
genes,3,3,5,15,24,44,56,78,338
healthcare,2,0,7,7,4,15,8,8,133
ijerph,20,32,34,35,63,110,173,310,1606
ijgi,4,7,9,11,15,23,21,37,130
ijms,30,41,65,108,151,220,367,594,2504
insects,4,2,1,6,8,13,17,30,119
jcm,3,9,6,9,6,13,101,129,943
jmse,1,1,8,5,3,5,28,48,280
jof,0,0,3,5,7,8,10,15,107
jpm,2,1,3,0,1,1,2,14,159
jtaer,0,0,0,0,0,0,0,0,11
land,2,5,4,1,4,10,8,21,198
life,1,6,3,3,5,6,7,17,258
magnetochemistry,0,0,1,2,4,4,4,3,87
marinedrugs,6,18,14,8,22,24,44,51,177
materials,26,22,35,58,54,80,120,196,1634
mathematics,1,0,3,4,1,14,42,121,461
medicina,0,0,0,0,0,0,20,23,213
membranes,3,2,5,3,4,13,9,35,235
metabolites,5,4,2,5,5,6,15,33,203
metals,1,3,8,19,20,46,62,67,473
micromachines,1,7,12,21,25,47,54,64,480
microorganisms,2,0,3,7,8,13,38,111,530
minerals,3,0,3,11,15,36,45,77,304
molecules,22,37,41,77,86,108,246,324,1536
nanomaterials,3,5,12,16,24,51,71,95,881
nutrients,17,15,26,27,45,79,171,202,525
pathogens,2,6,6,2,6,6,9,44,384
pharmaceuticals,7,2,3,5,6,5,12,21,160
pharmaceutics,4,2,3,2,4,19,43,96,374
photonics,1,3,6,2,4,4,8,2,118
plants,5,2,4,2,7,4,33,72,557
polymers,7,6,12,18,32,73,80,172,857
processes,2,4,1,7,3,12,30,71,650
remotesensing,12,15,25,31,34,96,145,198,917
sensors,28,36,45,82,113,174,261,311,1727
separations,0,0,4,2,2,3,4,1,88
sustainability,19,22,38,57,82,176,238,432,3303
symmetry,0,4,14,12,18,23,46,76,536
tomography,0,0,0,0,0,0,0,0,2
toxics,1,2,1,1,2,5,4,4,102
toxins,11,10,10,12,15,24,41,49,202
universe,0,0,1,1,5,6,13,10,156
vaccines,4,3,3,3,3,6,9,25,241
viruses,17,16,20,16,15,37,52,71,299
water,7,9,14,28,47,67,119,189,731
