journal,2017,2018,2019,2020,2021,2022
actuators,2,6,5,6,14,60
aerospace,4,9,10,16,18,84
agriculture,6,11,12,18,55,190
agronomy,2,13,31,83,131,417
animals,1,9,45,66,168,496
antibiotics,3,4,18,58,89,312
antioxidants,13,14,36,67,102,274
applsci,60,113,211,357,545,2093
atmosphere,16,29,59,90,89,350
axioms,4,5,10,8,20,115
batteries,1,4,3,4,4,43
behavsci,5,3,5,3,4,31
bioengineering,8,10,12,13,8,174
biology,1,3,3,14,39,191
biomedicines,6,11,5,32,68,740
biomimetics,2,5,4,3,2,45
biomolecules,2,10,36,86,97,376
biosensors,6,14,7,4,19,194
brainsci,15,9,22,51,103,172
buildings,9,8,10,7,21,199
cancers,15,31,79,147,356,767
catalysts,28,38,47,85,95,350
cells,2,14,94,150,195,604
chemosensors,1,4,4,3,7,82
children,6,6,9,13,50,184
cimb,0,0,0,0,0,33
coatings,22,29,16,59,77,366
crystals,32,28,39,78,92,334
curroncol,0,0,0,0,7,49
diagnostics,4,7,10,53,100,450
diversity,5,12,14,31,43,169
drones,0,2,3,2,3,38
electronics,3,13,43,97,154,629
energies,67,81,185,287,456,1424
entropy,35,49,74,79,103,267
fermentation,3,9,10,11,15,101
fire,0,0,1,1,3,24
fishes,1,0,4,1,1,41
foods,6,15,34,90,178,477
forests,24,38,60,57,100,226
fractalfract,2,1,1,4,9,77
gels,8,4,4,3,16,103
genes,24,44,56,79,118,293
healthcare,4,15,8,8,60,152
horticulturae,1,7,3,1,15,164
ijerph,63,110,172,308,486,1367
ijgi,15,23,21,35,64,16
ijms,151,221,367,590,820,2986
inorganics,11,9,11,6,0,69
insects,8,13,16,28,42,79
jcdd,4,3,1,2,5,31
jcm,6,13,101,126,303,713
jfb,2,3,1,3,2,43
jintelligence,1,4,0,4,2,18
jmse,3,5,28,47,78,222
jof,7,8,10,15,53,145
jpm,1,1,2,14,45,252
jtaer,0,0,0,0,2,5
land,4,10,8,21,43,276
life,5,6,6,15,73,413
lubricants,5,9,12,5,3,60
machines,0,4,4,4,11,131
magnetochemistry,4,4,4,3,9,78
marinedrugs,22,24,44,50,52,147
materials,54,79,119,197,287,1270
mathematics,1,14,42,117,165,548
medicina,0,0,20,23,58,148
membranes,4,13,9,35,46,265
metabolites,5,6,15,32,60,220
metals,20,46,62,66,106,425
micromachines,25,47,54,64,72,369
microorganisms,8,13,38,111,170,356
minerals,15,36,45,77,91,255
molecules,86,108,246,312,422,1358
nanomaterials,24,51,71,95,256,613
nutrients,45,79,171,203,237,457
pathogens,6,6,9,44,80,291
pharmaceuticals,6,5,12,19,54,245
pharmaceutics,4,19,41,79,107,469
photonics,4,4,8,2,28,125
plants,7,4,32,68,129,570
polymers,32,73,78,166,127,991
processes,3,12,30,61,111,485
remotesensing,35,96,145,197,244,792
sensors,112,172,261,294,316,1520
separations,2,2,4,2,6,89
sustainability,82,175,233,410,687,2174
symmetry,18,23,45,75,107,527
systems,3,3,2,3,5,17
tomography,0,0,0,0,0,14
toxics,2,5,4,4,14,134
toxins,15,24,41,48,71,131
tropicalmed,3,10,5,8,9,55
universe,5,6,13,11,31,103
vaccines,3,6,9,25,59,234
vetsci,5,5,5,3,4,103
viruses,15,37,52,67,153,327
water,47,67,119,187,226,774
